year,ship_type,demand
2020,C,15254405
2020,T,24183380
2020,B,7610528
2020,G,352176
2020,O,1149540
2021,C,15659928.1
2021,T,24826270.97
2021,B,7812846.276
2021,G,361538.2468
2021,O,1180099.371
2022,C,16076231.63
2022,T,25486252.56
2022,B,8020542.982
2022,G,371149.3795
2022,O,1211471.133
2023,C,16503602.17
2023,T,26163779.1
2023,B,8233761.096
2023,G,381016.0146
2023,O,1243676.882
2024,C,16942333.93
2024,T,26859317
2024,B,8452647.401
2024,G,391144.9444
2024,O,1276738.788
2025,C,17392728.94
2025,T,27573345.09
2025,B,8677352.58
2025,G,401543.1416
2025,O,1310679.612
2026,C,17855097.24
2026,T,28306354.89
2026,B,8908031.321
2026,G,412217.7645
2026,O,1345522.719
2027,C,18329757.15
2027,T,29058851.03
2027,B,9144842.426
2027,G,423176.1615
2027,O,1381292.095
2028,C,18817035.41
2028,T,29831351.53
2028,B,9387948.917
2028,G,434425.8766
2028,O,1418012.364
2029,C,19317267.48
2029,T,30624388.18
2029,B,9637518.151
2029,G,445974.6541
2029,O,1455708.804
2030,C,19830797.72
2030,T,31438506.91
2030,B,9893721.933
2030,G,457830.4443
2030,O,1494407.367
2031,C,20278279.67
2031,T,32147916.82
2031,B,10116973.77
2031,G,468161.3883
2031,O,1528128.669
2032,C,20735859.05
2032,T,32873334.56
2032,B,10345263.28
2032,G,478725.45
2032,O,1562610.893
2033,C,21203763.71
2033,T,33615121.36
2033,B,10578704.15
2033,G,489527.8898
2033,O,1597871.208
2034,C,21682226.64
2034,T,34373646.57
2034,B,10817412.61
2034,G,500574.0866
2034,O,1633927.171
2035,C,22171486.09
2035,T,35149287.9
2035,B,11061507.52
2035,G,511869.5409
2035,O,1670796.738
2036,C,22671785.67
2036,T,35942431.59
2036,B,11311110.44
2036,G,523419.8771
2036,O,1708498.266
2037,C,23183374.51
2037,T,36753472.56
2037,B,11566345.65
2037,G,535230.8466
2037,O,1747050.53
2038,C,23706507.36
2038,T,37582814.66
2038,B,11827340.24
2038,G,547308.3306
2038,O,1786472.725
2039,C,24241444.7
2039,T,38430870.88
2039,B,12094224.17
2039,G,559658.3431
2039,O,1826784.482
2040,C,24788452.9
2040,T,39298063.48
2040,B,12367130.34
2040,G,572287.0336
2040,O,1868005.874
2041,C,25137325.58
2041,T,39851144.42
2041,B,12541185.33
2041,G,580341.4013
2041,O,1894296.189
2042,C,25491108.3
2042,T,40412009.43
2042,B,12717689.97
2042,G,588509.1262
2042,O,1920956.513
2043,C,25849870.16
2043,T,40980768.05
2043,B,12896678.74
2043,G,596791.8037
2043,O,1947992.055
2044,C,26213681.23
2044,T,41557531.38
2044,B,13078186.6
2044,G,605191.0515
2044,O,1975408.095
2045,C,26582612.58
2045,T,42142412.08
2045,B,13262248.99
2045,G,613708.5104
2045,O,2003209.989
2046,C,26956736.27
2046,T,42735524.38
2046,B,13448901.89
2046,G,622345.8439
2046,O,2031403.166
2047,C,27336125.38
2047,T,43336984.15
2047,B,13638181.73
2047,G,631104.7393
2047,O,2059993.134
2048,C,27720854.01
2048,T,43946908.87
2048,B,13830125.5
2048,G,639986.9074
2048,O,2088985.478
2049,C,28110997.31
2049,T,44565417.66
2049,B,14024770.69
2049,G,648994.0832
2049,O,2118385.859
2050,C,28506631.48
2050,T,45192631.35
2050,B,14222155.31
2050,G,658128.0259
2050,O,2148200.022
