fuel_type,year,availability
Oil,2020,1000000
LNG,2020,80000
LPG,2020,80000
MeOH,2020,30000
NH3,2020,30000
RefPO,2020,1000000
H2,2020,10000
Oil,2021,920000
LNG,2021,90000
LPG,2021,90000
MeOH,2021,35000
NH3,2021,35000
RefPO,2021,900000
H2,2021,20000
Oil,2022,850000
LNG,2022,100000
LPG,2022,100000
MeOH,2022,40000
NH3,2022,40000
RefPO,2022,850000
H2,2022,30000
Oil,2023,780000
LNG,2023,110000
LPG,2023,110000
MeOH,2023,45000
NH3,2023,45000
RefPO,2023,800000
H2,2023,40000
Oil,2024,700000
LNG,2024,120000
LPG,2024,120000
MeOH,2024,50000
NH3,2024,50000
RefPO,2024,700000
H2,2024,50000
Oil,2025,620000
LNG,2025,130000
LPG,2025,130000
MeOH,2025,55000
NH3,2025,55000
RefPO,2025,620000
H2,2025,60000
Oil,2026,540000
LNG,2026,140000
LPG,2026,140000
MeOH,2026,60000
NH3,2026,60000
RefPO,2026,540000
H2,2026,70000
Oil,2027,460000
LNG,2027,150000
LPG,2027,150000
MeOH,2027,65000
NH3,2027,65000
RefPO,2027,460000
H2,2027,80000
Oil,2028,380000
LNG,2028,160000
LPG,2028,160000
MeOH,2028,70000
NH3,2028,70000
RefPO,2028,380000
H2,2028,90000
Oil,2029,300000
LNG,2029,170000
LPG,2029,170000
MeOH,2029,75000
NH3,2029,75000
RefPO,2029,300000
H2,2029,100000
Oil,2030,220000
LNG,2030,180000
LPG,2030,180000
MeOH,2030,80000
NH3,2030,80000
RefPO,2030,220000
H2,2030,110000
Oil,2031,150000
LNG,2031,190000
LPG,2031,190000
MeOH,2031,85000
NH3,2031,85000
RefPO,2031,150000
H2,2031,120000
Oil,2032,100000
LNG,2032,200000
LPG,2032,200000
MeOH,2032,90000
NH3,2032,90000
RefPO,2032,100000
H2,2032,130000
Oil,2033,60000
LNG,2033,210000
LPG,2033,210000
MeOH,2033,95000
NH3,2033,95000
RefPO,2033,60000
H2,2033,140000
Oil,2034,40000
LNG,2034,220000
LPG,2034,220000
MeOH,2034,100000
NH3,2034,100000
RefPO,2034,40000
H2,2034,150000
Oil,2035,20000
LNG,2035,230000
LPG,2035,230000
MeOH,2035,105000
NH3,2035,105000
RefPO,2035,20000
H2,2035,160000
Oil,2036,10000
LNG,2036,240000
LPG,2036,240000
MeOH,2036,110000
NH3,2036,110000
RefPO,2036,10000
H2,2036,170000
Oil,2037,10000
LNG,2037,250000
LPG,2037,250000
MeOH,2037,115000
NH3,2037,115000
RefPO,2037,10000
H2,2037,180000
Oil,2038,10000
LNG,2038,260000
LPG,2038,260000
MeOH,2038,120000
NH3,2038,120000
RefPO,2038,10000
H2,2038,190000
Oil,2039,10000
LNG,2039,270000
LPG,2039,270000
MeOH,2039,125000
NH3,2039,125000
RefPO,2039,10000
H2,2039,200000
Oil,2040,10000
LNG,2040,280000
LPG,2040,280000
MeOH,2040,130000
NH3,2040,130000
RefPO,2040,10000
H2,2040,210000
Oil,2041,10000
LNG,2041,290000
LPG,2041,290000
MeOH,2041,135000
NH3,2041,135000
RefPO,2041,10000
H2,2041,220000
Oil,2042,10000
LNG,2042,300000
LPG,2042,300000
MeOH,2042,140000
NH3,2042,140000
RefPO,2042,10000
H2,2042,230000
Oil,2043,10000
LNG,2043,310000
LPG,2043,310000
MeOH,2043,145000
NH3,2043,145000
RefPO,2043,10000
H2,2043,240000
Oil,2044,10000
LNG,2044,320000
LPG,2044,320000
MeOH,2044,150000
NH3,2044,150000
RefPO,2044,10000
H2,2044,250000
Oil,2045,10000
LNG,2045,330000
LPG,2045,330000
MeOH,2045,155000
NH3,2045,155000
RefPO,2045,10000
H2,2045,260000
Oil,2046,10000
LNG,2046,340000
LPG,2046,340000
MeOH,2046,160000
NH3,2046,160000
RefPO,2046,10000
H2,2046,270000
Oil,2047,10000
LNG,2047,350000
LPG,2047,350000
MeOH,2047,165000
NH3,2047,165000
RefPO,2047,10000
H2,2047,280000
Oil,2048,10000
LNG,2048,360000
LPG,2048,360000
MeOH,2048,170000
NH3,2048,170000
RefPO,2048,10000
H2,2048,290000
Oil,2049,10000
LNG,2049,370000
LPG,2049,370000
MeOH,2049,175000
NH3,2049,175000
RefPO,2049,10000
H2,2049,300000
Oil,2050,10000
LNG,2050,380000
LPG,2050,380000
MeOH,2050,180000
NH3,2050,180000
RefPO,2050,10000
H2,2050,310000
