ship_type,fuel_type,engine_type,consumption,year
C,Oil,ME-C,1500.0,2020
C,Oil,ME-GI,1400.0,2020
C,Oil,ME-LGI,1300.0,2020
C,LNG,ME-C,0.0,2020
C,LNG,ME-GI,0.0,2020
C,LNG,ME-LGI,0.0,2020
C,LPG,ME-C,0.0,2020
C,LPG,ME-GI,0.0,2020
C,LPG,ME-LGI,0.0,2020
C,MeOH,ME-C,0.0,2020
C,MeOH,ME-GI,0.0,2020
C,MeOH,ME-LGI,0.0,2020
C,NH3,ME-C,0.0,2020
C,NH3,ME-GI,0.0,2020
C,NH3,ME-LGI,0.0,2020
C,RefPO,ME-C,1500.0,2020
C,RefPO,ME-GI,1400.0,2020
C,RefPO,ME-LGI,1300.0,2020
C,H2,ME-C,0.0,2020
C,H2,ME-GI,0.0,2020
C,H2,ME-LGI,0.0,2020
T,Oil,ME-C,1800.0,2020
T,Oil,ME-GI,1700.0,2020
T,Oil,ME-LGI,1600.0,2020
T,LNG,ME-C,0.0,2020
T,LNG,ME-GI,0.0,2020
T,LNG,ME-LGI,0.0,2020
T,LPG,ME-C,0.0,2020
T,LPG,ME-GI,0.0,2020
T,LPG,ME-LGI,0.0,2020
T,MeOH,ME-C,0.0,2020
T,MeOH,ME-GI,0.0,2020
T,MeOH,ME-LGI,0.0,2020
T,NH3,ME-C,0.0,2020
T,NH3,ME-GI,0.0,2020
T,NH3,ME-LGI,0.0,2020
T,RefPO,ME-C,1700.0,2020
T,RefPO,ME-GI,1600.0,2020
T,RefPO,ME-LGI,1500.0,2020
T,H2,ME-C,0.0,2020
T,H2,ME-GI,0.0,2020
T,H2,ME-LGI,0.0,2020
B,Oil,ME-C,2000.0,2020
B,Oil,ME-GI,1900.0,2020
B,Oil,ME-LGI,1800.0,2020
B,LNG,ME-C,0.0,2020
B,LNG,ME-GI,0.0,2020
B,LNG,ME-LGI,0.0,2020
B,LPG,ME-C,0.0,2020
B,LPG,ME-GI,0.0,2020
B,LPG,ME-LGI,0.0,2020
B,MeOH,ME-C,0.0,2020
